nome_empresarial,bairro,ano,lat,lng,tipo
NEGRELLO'S,CENTRO,2008-08-29,-25.4351856,-49.269407,Lanchonete
VON MUHLEN LANCHES LTDA-ME,CENTRO,2011-06-03,-25.436163,-49.2705658,Lanchonete
VALDIR PEREIRA JUNIOR,CENTRO,1992-11-03,-25.4444496,-49.2882319,Lanchonete
SHEILA KELEN MOREIRA DE ARAUJO ALMEIDA,CENTRO,2005-01-13,-25.4309272,-49.278314,Jogo
MIAU COMERCIO DE ALIMENTOS LTDA,CENTRO,2000-02-01,-25.4374627,-49.2744493,Lanchonete
RESTAURANTE GLOBO,CENTRO,2008-07-04,-25.431794,-49.2676752,Restaurante
LUIZ FRANCISCO DE CARVALHO,CENTRO,1996-04-26,-25.4308543,-49.2787064,Lanchonete
PAO DE QUEIJO,CENTRO,2008-01-29,-25.4320129,-49.2684749,Franquia
ULRICH LINDOLFO FULLGRAF,CENTRO,1988-12-27,-25.4274417,-49.2644121,Bar/Choperia
KERO PIZZA - COMERCIO DE PIZZA LT,CENTRO,1992-12-01,-25.4351729,-49.2820548,Pizzaria
BEKO LANCHES,TATUQUARA,2007-08-01,-25.5682721,-49.3404388,Lanchonete
LANCHONETE RAQUEVAN LTDA,CENTRO,2006-06-23,-25.4285263,-49.2727112,Lanchonete
COMUNITA CAFFE,CENTRO,2009-02-03,-25.4301849,-49.2663313,Café
ANDREA CRISTINA COTOVICZ KRAUZE,CENTRO,1997-12-23,-25.4412212,-49.27769,Lanchonete
PASTELARIA GENEROSO LTDA,CENTRO,1987-08-01,-25.4297675,-49.2696336,Pastelaria
CHAU CHAM PUI,CENTRO,1994-03-16,-25.4313139,-49.2755297,Pastelaria
CANTINA DA SAUDE,BATEL,2011-08-12,-25.445294,-49.2870532,Cantina
DIVINA GULA - LANCH E CONF LTDA,CENTRO,1994-08-01,-25.42373,-49.2636753,Padaria/Confeitaria
CAESARS RESTAURANTE E BAR LTDA,CENTRO,1990-07-20,-25.4307367,-49.2689717,Bar/Choperia
MARCELINO CEZAR DE ALMEIDA,TATUQUARA,2010-04-20,-25.5688176,-49.3339187,Lanchonete
REST E CHURRASC 4 TEMPEROS LTDA,CENTRO,1985-05-15,-25.4318313,-49.2632356,Churrascaria/Grill
MARCIA REGINA AUGUSTO,CENTRO,1999-09-01,-25.4300818,-49.2758994,Bar/Choperia
CAFE COM CREME LANCHONETE,CENTRO,2009-04-30,-25.4296069,-49.2691935,Café
GREEDYBURGER COMERC DE LANCHES LT,CENTRO,1993-03-30,-25.4375884,-49.2788585,Fastfood
DELIGHT LANCHES,CENTRO,2011-05-05,-25.4324844,-49.2746856,Lanchonete
CAFFE LIQUORI,CENTRO,2011-08-02,-25.4345923,-49.2763081,Café
MARLI TEREZINHA SCHRAM-LANCHONETE,CENTRO,1995-03-01,-25.4286139,-49.2687127,Lanchonete
PLASTDOCE,CENTRO,2007-02-12,-25.4310479,-49.2706612,Lanchonete
BAR LANCHES E ASSADOS PRINCK LTDA,CENTRO,1986-04-01,-25.4309597,-49.2768184,Bar/Choperia
ROBERSON BUENO DA SILVA 06238628910,TATUQUARA,2012-01-26,-25.5599046,-49.3312249,Jogo
NOSSABEIN & CIA LTDA,CENTRO,1998-12-01,-25.4344668,-49.2800195,Lanchonete
LANCHONETE SUCO CHEIO LTDA,CENTRO,1993-12-15,-25.4444127,-49.2881371,Lanchonete
BAR  SNOOKER JLBR LTDA,CENTRO,1985-05-25,-25.4323775,-49.272136,Jogo
A A  FAVETTI & CIA LTDA,CENTRO,1987-05-30,-25.43414,-49.2769563,Bar/Choperia
CANTINHO DOS SUCOS E LANCHES,CENTRO,2006-02-10,-25.4342355,-49.2757328,Lanchonete
PASTELARIA E LANCHONETE TA CHEN LTDA,CENTRO,1998-07-01,-25.4370817,-49.2747346,Pastelaria
